gpu:0
Preparing data...
Preparing done...
average sequence length: 163.50
Epoch 1 iteration 0: 1.3932280540466309
Epoch 1 iteration 10: 1.3245246410369873
Epoch 1 iteration 20: 1.2357004880905151
Epoch 1 iteration 30: 1.1550915241241455
Epoch 1 iteration 40: 1.103062391281128
Epoch 2 iteration 0: 1.060494065284729
Epoch 2 iteration 10: 1.0448250770568848
Epoch 2 iteration 20: 1.0289937257766724
Epoch 2 iteration 30: 1.035818099975586
Epoch 2 iteration 40: 0.9952906370162964
Epoch 3 iteration 0: 1.0021804571151733
Epoch 3 iteration 10: 0.9869474768638611
Epoch 3 iteration 20: 1.0232101678848267
Epoch 3 iteration 30: 1.0112733840942383
Epoch 3 iteration 40: 0.9600445032119751
Epoch 4 iteration 0: 0.9833731055259705
Epoch 4 iteration 10: 0.9575084447860718
Epoch 4 iteration 20: 0.9729374051094055
Epoch 4 iteration 30: 0.9716721773147583
Epoch 4 iteration 40: 0.965061604976654
Epoch 5 iteration 0: 0.9805629849433899
Epoch 5 iteration 10: 0.9610279202461243
Epoch 5 iteration 20: 0.9355607628822327
Epoch 5 iteration 30: 0.9227983951568604
Epoch 5 iteration 40: 0.941415011882782
Epoch 6 iteration 0: 0.9298564195632935
Epoch 6 iteration 10: 0.9148852825164795
Epoch 6 iteration 20: 0.9194993376731873
Epoch 6 iteration 30: 0.9100611209869385
Epoch 6 iteration 40: 0.8811001777648926
Epoch 7 iteration 0: 0.9062499403953552
Epoch 7 iteration 10: 0.8837421536445618
Epoch 7 iteration 20: 0.8749547004699707
Epoch 7 iteration 30: 0.8780573606491089
Epoch 7 iteration 40: 0.8414666652679443
Epoch 8 iteration 0: 0.8517223596572876
Epoch 8 iteration 10: 0.8243025541305542
Epoch 8 iteration 20: 0.8331621885299683
Epoch 8 iteration 30: 0.8393015265464783
Epoch 8 iteration 40: 0.8106908202171326
Epoch 9 iteration 0: 0.8289374709129333
Epoch 9 iteration 10: 0.7779026031494141
Epoch 9 iteration 20: 0.7767883539199829
Epoch 9 iteration 30: 0.7766906023025513
Epoch 9 iteration 40: 0.7979115843772888
Epoch 10 iteration 0: 0.7511049509048462
Epoch 10 iteration 10: 0.8143408894538879
Epoch 10 iteration 20: 0.7773252129554749
Epoch 10 iteration 30: 0.7612677812576294
Epoch 10 iteration 40: 0.7639691233634949
Epoch 11 iteration 0: 0.7681863307952881
Epoch 11 iteration 10: 0.7615604400634766
Epoch 11 iteration 20: 0.7612916827201843
Epoch 11 iteration 30: 0.7843771576881409
Epoch 11 iteration 40: 0.7342096567153931
Epoch 12 iteration 0: 0.7180455327033997
Epoch 12 iteration 10: 0.7506701350212097
Epoch 12 iteration 20: 0.7311455607414246
Epoch 12 iteration 30: 0.7217992544174194
Epoch 12 iteration 40: 0.7437864542007446
Epoch 13 iteration 0: 0.707018256187439
Epoch 13 iteration 10: 0.7195019125938416
Epoch 13 iteration 20: 0.6990318894386292
Epoch 13 iteration 30: 0.6929052472114563
Epoch 13 iteration 40: 0.7121611833572388
Epoch 14 iteration 0: 0.680012583732605
Epoch 14 iteration 10: 0.687461256980896
Epoch 14 iteration 20: 0.681927502155304
Epoch 14 iteration 30: 0.692244291305542
Epoch 14 iteration 40: 0.6914740800857544
Epoch 15 iteration 0: 0.6588473916053772
Epoch 15 iteration 10: 0.6812323331832886
Epoch 15 iteration 20: 0.6773322224617004
Epoch 15 iteration 30: 0.6945546269416809
Epoch 15 iteration 40: 0.6656031012535095
Epoch 16 iteration 0: 0.6580975651741028
Epoch 16 iteration 10: 0.6640142202377319
Epoch 16 iteration 20: 0.6773232221603394
Epoch 16 iteration 30: 0.6804707050323486
Epoch 16 iteration 40: 0.6813104152679443
Epoch 17 iteration 0: 0.6753464937210083
Epoch 17 iteration 10: 0.6475329995155334
Epoch 17 iteration 20: 0.6188074946403503
Epoch 17 iteration 30: 0.6264141201972961
Epoch 17 iteration 40: 0.6385927200317383
Epoch 18 iteration 0: 0.6351269483566284
Epoch 18 iteration 10: 0.6631395816802979
Epoch 18 iteration 20: 0.6637669205665588
Epoch 18 iteration 30: 0.6371151208877563
Epoch 18 iteration 40: 0.6475597620010376
Epoch 19 iteration 0: 0.6124399304389954
Epoch 19 iteration 10: 0.6415382027626038
Epoch 19 iteration 20: 0.621823251247406
Epoch 19 iteration 30: 0.5949066281318665
Epoch 19 iteration 40: 0.6136167049407959
Epoch 20 iteration 0: 0.6197539567947388
Epoch 20 iteration 10: 0.6239554286003113
Epoch 20 iteration 20: 0.6230636239051819
Epoch 20 iteration 30: 0.6174631714820862
Epoch 20 iteration 40: 0.6270514726638794
Epoch 21 iteration 0: 0.6547423601150513
Epoch 21 iteration 10: 0.6546770334243774
Epoch 21 iteration 20: 0.5880324840545654
Epoch 21 iteration 30: 0.600275456905365
Epoch 21 iteration 40: 0.6266316175460815
Epoch 22 iteration 0: 0.6497247815132141
Epoch 22 iteration 10: 0.6169908046722412
Epoch 22 iteration 20: 0.6013403534889221
Epoch 22 iteration 30: 0.6216285824775696
Epoch 22 iteration 40: 0.604070246219635
Epoch 23 iteration 0: 0.5901502966880798
Epoch 23 iteration 10: 0.58396977186203
Epoch 23 iteration 20: 0.6144245266914368
Epoch 23 iteration 30: 0.5951716899871826
Epoch 23 iteration 40: 0.5619703531265259
Epoch 24 iteration 0: 0.6028239130973816
Epoch 24 iteration 10: 0.5922514796257019
Epoch 24 iteration 20: 0.5757461786270142
Epoch 24 iteration 30: 0.5828635096549988
Epoch 24 iteration 40: 0.6240164637565613
Epoch 25 iteration 0: 0.5892532467842102
Epoch 25 iteration 10: 0.5613765716552734
Epoch 25 iteration 20: 0.5938031077384949
Epoch 25 iteration 30: 0.5604426860809326
Epoch 25 iteration 40: 0.5791298747062683
Epoch 26 iteration 0: 0.5613052845001221
Epoch 26 iteration 10: 0.5578240156173706
Epoch 26 iteration 20: 0.5855603218078613
Epoch 26 iteration 30: 0.5655427575111389
Epoch 26 iteration 40: 0.5217893123626709
Epoch 27 iteration 0: 0.5616673827171326
Epoch 27 iteration 10: 0.5254034996032715
Epoch 27 iteration 20: 0.5546600818634033
Epoch 27 iteration 30: 0.5514395833015442
Epoch 27 iteration 40: 0.5461260676383972
Epoch 28 iteration 0: 0.5721498131752014
Epoch 28 iteration 10: 0.5576025247573853
Epoch 28 iteration 20: 0.5795279145240784
Epoch 28 iteration 30: 0.5851255655288696
